_key,alternativeNames,createdAt,gadm,geojson.geometry.type,geojson.geometry.coordinates,geojson.type,geojson.properties,issues,name,social.rating,social.totalComments,touristic,type,updatedAt
"1047",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.945,20.652222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Xocen",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1048",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.956666,20.665],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1049",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.16_1","Point",[-88.015,20.665],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"105",[],"2017-05-10T06:00:00.000Z","Gadm/MEX.31.69_1","Point",[-89.00768,20.59206],"Feature",{},[],"Tzonot mis",4.525316455696203,158,true,"CENOTE","2021-05-16T23:59:17.680Z"
"1050",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-88.008055,20.701388],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Xuneb",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1051",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.96_1","Point",[-87.685555,20.953888],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yaax-ha",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1052",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.923888,20.801944],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yakdzonot",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1053",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.806944,20.839444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yokdzonot",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1054",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.921388,20.804722],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yokdzonot",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1055",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-88.016388,20.681944],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yokdzonot",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
